what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727426770235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727426782484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1727426788194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727426958569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427445370
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727427496272
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727427502511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427512682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427513758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1727427523630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727427526416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427614683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427779490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727427783429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428029082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1727428062193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428118884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428120748
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428124622
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428165842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428244257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428259682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428261804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428378926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428381020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428808434
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727428812532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428816724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428929669
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428930055
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428930147
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727428939972
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428941165
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428941252
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727428961101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428963960
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1727428966125
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1727428966129
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1727428966178
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1727428966183
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1727428966201
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1727428966206
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1727428966207
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1727428966242
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1727428966246
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1727428966260
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1727428966276
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1727428966284
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1727428966303
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1727428966396
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1727428966499
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1727428966529
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727428966603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428966663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1727428966678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1727428991517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727428993070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429000604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429000729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429032177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1727429032254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429133694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429386394
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727429387181
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727429395407
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727429396472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727429396541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429459457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429467246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429657362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429714214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429727133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429770094
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1727429793939
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1727429796548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727429799157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727430048797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727430050223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727430300756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727430301989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1727430607263
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727430609689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1727430612830
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1727430613989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1727430622508
