what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1729479023969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479050235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479052725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479131544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479132471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479133879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729479134844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729482063463
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1729482091869
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1729482092734
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1729482093239
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1729482095635
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1729482099256
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1729482100448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729482115202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729482275022
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1729482330474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1729482334368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729482368205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1729483250938
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1729483258849
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1729483271186
