what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1728445963132
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1728445963454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728445988996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446008676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446012452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446013148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446017907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446042034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1728446042043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1728446042043
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446043840
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728446046898
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1728446049258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446052309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446060933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728446060949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728446060949
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1728446062327
error,log,,,"Core exception while retrieving the content description",1728446062434
error,log,,,"Core exception while retrieving the content description",1728446062435
error,log,,,"Core exception while retrieving the content description",1728446062436
error,log,,,"Core exception while retrieving the content description",1728446062437
error,log,,,"Core exception while retrieving the content description",1728446062438
error,log,,,"Core exception while retrieving the content description",1728446062439
error,log,,,"Core exception while retrieving the content description",1728446062439
error,log,,,"Core exception while retrieving the content description",1728446062440
error,log,,,"Core exception while retrieving the content description",1728446062442
error,log,,,"Core exception while retrieving the content description",1728446062443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446066168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446068015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1728446068024
error,log,,,"Core exception while retrieving the content description",1728446070543
error,log,,,"Core exception while retrieving the content description",1728446070545
error,log,,,"Core exception while retrieving the content description",1728446070547
error,log,,,"Core exception while retrieving the content description",1728446070548
error,log,,,"Core exception while retrieving the content description",1728446070549
error,log,,,"Core exception while retrieving the content description",1728446070550
error,log,,,"Core exception while retrieving the content description",1728446070551
error,log,,,"Core exception while retrieving the content description",1728446070551
error,log,,,"Core exception while retrieving the content description",1728446070553
error,log,,,"Core exception while retrieving the content description",1728446070556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446071952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446073581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1728446073588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1728446078755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446087208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446107594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1728446111111
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1728446119280
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1728446119325
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728446124579
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1728446131902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728446138662
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1728446143814
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1728446143830
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1728446143871
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1728446143881
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1728446143917
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1728446143929
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1728446143937
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1728446143942
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1728446143944
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1728446143982
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1728446144019
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1728446144022
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1728446144084
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1728446144126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1728446144598
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1728446145112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446146952
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1728446146954
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728446149546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446152748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446218243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728446218258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728446218258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446227072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446259345
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446261107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446261153
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1728446263167
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728446265624
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446269721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446269777
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1728446291950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1728446292025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446300662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446317566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1728446345198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1728446347014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1728446355339
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728446359059
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728446359153
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728446361437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446363863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446593905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446596597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446596982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446597647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446599828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446601703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446601798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446604280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446606424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728446627182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728447063609
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728447066675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728447071220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728447096501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728447096523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1728447096523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728447103418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728447137752
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728447141394
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728447141448
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1728447144899
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728447145181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728447145219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1728447153965
