what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1728887186581
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728887187288
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728887187329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1728887204256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887205487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887410514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728887412036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1728887420087
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1728887421162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887423278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887427435
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728887435062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887440742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887462086
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728887466517
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1728887467875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1728887468161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887473699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887477538
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1728887480212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887486809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887540884
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1728887547016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887548828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1728887557852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1728887597849
