what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1730256221229
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1730256221229
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1730256221230
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1730256221230
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1730256221230
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1730256221231
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1730256221231
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1730256221231
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1730256221232
os,sysinfo,,,"win32",1730256221234
arch,sysinfo,,,"x86",1730256221234
ws,sysinfo,,,"win32",1730256221234
locale,sysinfo,,,"en_US",1730256221234
processors,sysinfo,,,"6",1730256221234
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1730256221234
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1730256221234
java.specification.name,sysinfo,,,"Java Platform API Specification",1730256221234
java.specification.vendor,sysinfo,,,"Oracle Corporation",1730256221234
java.specification.version,sysinfo,,,"1.8",1730256221234
java.vendor,sysinfo,,,"Oracle Corporation",1730256221234
java.version,sysinfo,,,"1.8.0_121",1730256221234
java.vm.info,sysinfo,,,"mixed mode",1730256221234
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1730256221234
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1730256221234
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1730256221234
java.vm.specification.version,sysinfo,,,"1.8",1730256221234
java.vm.vendor,sysinfo,,,"Oracle Corporation",1730256221234
java.vm.version,sysinfo,,,"25.121-b13",1730256221234
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1730256254201
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1730256357352
