what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110487702
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110487822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110524983
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110526247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110607534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110608773
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730110612793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110636548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730110636599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110665642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110800048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1730110823837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1730110826802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110838207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110854285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110870981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730110874951
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1730110939752
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1730110939765
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1730110939808
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1730110939833
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1730110939934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1730111038698
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730111065722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111071905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111094788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111098063
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730111104750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111111416
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730111113995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111115830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111137228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111137353
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1730111137391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111141387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111176715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111177286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111177969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111189190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111201820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111246005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111248030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111318111
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111323551
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111323551
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1730111326402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111328596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1730111351392
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1730111353950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111355877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1730111373475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1730111373496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1730111373496
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111383113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1730111383222
